Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246283,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,BELLE RIVER MILLS,Fixed,,Delivery,0
GLGT,246392,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,FARWELL,Fixed,,Delivery,0
GLGT,246391,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,FARWELL,Fixed,,Delivery,1.0837
GLGT,246193,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,WAKEFIELD,Fixed,,Delivery,1.30156
GLGT,246274,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS,Location,ST CLAIR,Fixed,,Delivery,1.0837
GLGT,246195,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD,Location,EMERSON,Fixed,,Delivery,0.64508
GLGT,246298,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,0.20256
GLGT,246273,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS,Location,ST CLAIR,Fixed,,Delivery,0
GLGT,246266,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,RATTLE RUN,Fixed,,Delivery,0
GLGT,246222,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246373,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CARLTON,Fixed,,Delivery,2.16348
GLGT,246431,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,CLOW,Fixed,,Delivery,0
GLGT,246374,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CARLTON,Fixed,,Delivery,2.80007
GLGT,246223,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246393,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,FARWELL,Fixed,,Delivery,0
GLGT,246267,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246258,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,DEWARD,Fixed,,Delivery,0
GLGT,246264,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246365,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,0
