origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"WINONA, MN",MN S,MN,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,4,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
"BILLINGS, MT",WY E,WY,DESTINATION,$/MI,0,60,DAP,2024 Q1,2023-09-28,18,25,"WY E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"OTTAWA, IL",IL W,IL,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"BURLEY, ID",OR E,OR,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"OR E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|BURLEY, ID",2023-09-28
"BURLEY, ID",MT S,MT,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,18,25,"MT S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"BILLINGS, MT",ID E,ID,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,18,25,"ID E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
,IA,IA,ORIGIN,$/ST,40,50,UAN,2023 Q4,2023-08-18,11.7,25,IA|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|40|#|50|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"ENID, OK",MO NE,MO,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,3.9,25,"MO NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"SAINT LOUIS, MO",IL E,IL,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,0,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"SAINT PAUL, MN",WI SE,WI,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,4.5,25,"WI SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
"SERGEANT BLUFF, IA",MN S,MN,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
"SERGEANT BLUFF, IA",IA SW,IA,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
,IA,IA,ORIGIN,$/ST,20,30,10-34-0,2023 Q4,2023-08-18,9.2,25,IA|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|20|#|30|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"BILLINGS, MT",OR W,OR,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4.5,25,"OR W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"SERGEANT BLUFF, IA",NE NW,NE,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"NE NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
,IA,IA,ORIGIN,$/ST,50,60,AMMONIA,FALL 2023,2023-08-18,28.2,20,IA|#|ORIGIN|#|AMMONIA|#|$/ST|#|50|#|60|#|FALL 2023|#|2023-08-18|#|,2023-08-18
,NE,NE,ORIGIN,$/ST,30,40,ATS,2023 Q4,2023-08-18,11.6,25,NE|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|30|#|40|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"SAINT PAUL, MN",MN N,MN,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,4,25,"MN N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
"WINONA, MN",WI SE,WI,DESTINATION,$/ST,0,60,MAP,2024 Q1,2023-09-28,15,25,"WI SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
,IA,IA,ORIGIN,$/MI,200,250,AMMONIA,FALL 2023,2023-08-18,6.9,20,IA|#|ORIGIN|#|AMMONIA|#|$/MI|#|200|#|250|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"SERGEANT BLUFF, IA",IA NW,IA,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
"JEFFERSONVILLE, IN",IL E,IL,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,18,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"ENID, OK",NE SE,NE,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,15,25,"NE SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"CINCINNATI, OH",MN S,MN,DESTINATION,$/MI,60,9999,SUPERU,2023 Q4,2023-09-28,0,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"INOLA, OK",KS SE,KS,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,3.4,25,"KS SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"JEFFERSONVILLE, IN",IL E,IL,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"WILMINGTON, NC",NC NE,NC,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,18,25,"NC NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"INOLA, OK",TX C,TX,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,4,25,"TX C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"BURLEY, ID",WA E,WA,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-08-18,4,25,"WA E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-08-18|#|BURLEY, ID",2023-08-18
"WINONA, MN",IA NW,IA,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
,ND,ND,ORIGIN,$/ST,20,30,10-34-0,2023 Q4,2023-08-18,11.2,25,ND|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|20|#|30|#|2023 Q4|#|2023-08-18|#|,2023-08-18
