originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"MICHOUD, LA","ZELLWOOD, FL",SINGLE,CSXT-ORLND-FCEN,UREA,T,2023-03-01,2024-02-29,781,,PF - FL ORLANDO,5636,58.1,58.1,4850,50,50,0.0744,2023-03-01,grey,MICHOUD|#|LA|#|ZELLWOOD|#|FL|#|CSXT-ORLND-FCEN|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - FL ORLANDO
"ARCCO, IL","MELVIN, IL",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,267,,,,,,7129,91.4,93.43,0.3499,2023-01-01,grey,ARCCO|#|IL|#|MELVIN|#|IL|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"IOWA FALLS, IA","PARMA, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,1506,,ID - NAMPA,,,,7495,76.48,84.16,0.0559,2023-07-01,red,IOWA FALLS|#|IA|#|PARMA|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - NAMPA
"BRANDON, MB","HINGHAM, MT",SINGLE,CPRS-COUTS-BNSF,UAN,F,,,795,,,,,,,,53.58,0.0674,2023-07-01,grey,BRANDON|#|MB|#|HINGHAM|#|MT|#|CPRS-COUTS-BNSF|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","ALTURAS, CA",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,2307,11.89,CA - NORTH,8286,85.42,97.31,7398,76.27,88.16,0.0422,2023-07-01,red,ENID|#|OK|#|ALTURAS|#|CA|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|CA - NORTH
"KANSAS CITY, MO","VOLTAIRE, ND",SINGLE,CPRS,UREA,Q,,,1101,5.45,"",4353,44.88,50.32,3957,40.79,46.24,0.0457,2023-09-13,grey,KANSAS CITY|#|MO|#|VOLTAIRE|#|ND|#|CPRS|#|SINGLE|#|UREA|#|Q|#||#||#|
"CHALMETTE, LA","AUBURN, NY",SINGLE,NS,DAP,Q,,,1507,,"",,,,,,63.76,,2023-03-17,grey,CHALMETTE|#|LA|#|AUBURN|#|NY|#|NS|#|SINGLE|#|DAP|#|Q|#||#||#|
"ENID, OK","KANSAS CITY, MO",SINGLE,UP,AMMONIA,C,2023-01-01,2023-12-31,320,,,,,,5645,72.37,74.42,0.2326,2023-01-01,red,ENID|#|OK|#|KANSAS CITY|#|MO|#|UP|#|SINGLE|#|AMMONIA|#|C|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","JOLIETTE, QC",SINGLE,CN,UAN,Q,,,1702,,,,,,7786,87.48,101.03,0.0594,2023-05-12,grey,BRANDON|#|MB|#|JOLIETTE|#|QC|#|CN|#|SINGLE|#|UAN|#|Q|#||#||#|
"ST ANNE, IL","FOWLER, IN",SINGLE,KBSR,MAP,T,2021-11-01,,36,,"",525,5.41,5.41,525,,5.41,0.1503,2021-11-01,grey,ST ANNE|#|IL|#|FOWLER|#|IN|#|KBSR|#|SINGLE|#|MAP|#|T|#|2021-11-01|#||#|
"ENID, OK","GREELEY, CO",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,832,4.29,CO - DENVER,4945,50.98,55.27,4416,45.53,49.81,0.0664,2023-07-01,red,ENID|#|OK|#|GREELEY|#|CO|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|CO - DENVER
"JUDD, IA","COUNCIL BLUFFS, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,145,,,,,,5410,69.36,70.46,0.486,2023-01-01,grey,JUDD|#|IA|#|COUNCIL BLUFFS|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","COLUMBIA, SC",SINGLE,BNSF-MEMPH-CSXT,SUPERU,F,,,1395,,,,,88.52,,,81.48,0.0635,2023-07-01,grey,ENID|#|OK|#|COLUMBIA|#|SC|#|BNSF-MEMPH-CSXT|#|SINGLE|#|SUPERU|#|F|#||#||#|
"BRANDON, MB","CRESTLINE, OH",SINGLE,CPRS-CHGO-CSXT,ATS,F,,,1265,,,,,,,,69.68,0.0551,2023-07-01,grey,BRANDON|#|MB|#|CRESTLINE|#|OH|#|CPRS-CHGO-CSXT|#|SINGLE|#|ATS|#|F|#||#||#|
"BRANDON, MB","TIFTON, GA",SINGLE,CPRS-CHGO-NS,10-34-0,F,,,1968,,,,,,,,81.58,0.0415,2023-08-01,grey,BRANDON|#|MB|#|TIFTON|#|GA|#|CPRS-CHGO-NS|#|SINGLE|#|10-34-0|#|F|#||#||#|
"ENID, OK","FOREST CITY, MO",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,416,1.42,PT TO PT,,35.91,37.33,,34.66,36.08,0.0897,2023-07-01,orange,ENID|#|OK|#|FOREST CITY|#|MO|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","KANSAS CITY, MO",SINGLE,BNSF,DEF,T,2023-01-01,2023-12-31,323,,,,,,,24.25,25.27,0.0782,2023-01-01,orange,ENID|#|OK|#|KANSAS CITY|#|MO|#|BNSF|#|SINGLE|#|DEF|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","WILLIAMS, IA",SINGLE,CN,UAN,C,2023-01-01,2023-12-31,1281,,,,,,5098,52.02,59.78,0.0467,2023-01-01,grey,BRANDON|#|MB|#|WILLIAMS|#|IA|#|CN|#|SINGLE|#|UAN|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","SAND SPRINGS, OK",SINGLE,BNSF-TULSA-SS,DEF,T,2023-01-01,2023-12-31,129,,,,,,,30.83,31.24,0.2421,2023-01-01,grey,ENID|#|OK|#|SAND SPRINGS|#|OK|#|BNSF-TULSA-SS|#|SINGLE|#|DEF|#|T|#|2023-01-01|#|2023-12-31|#|
"CHALMETTE, LA","TULLY, NY",SINGLE,NS-BING-NYSW,DAP,Q,,,1454,,"",,,,6236,,71.18,,2022-12-20,grey,CHALMETTE|#|LA|#|TULLY|#|NY|#|NS-BING-NYSW|#|SINGLE|#|DAP|#|Q|#||#||#|
"HAMILTON, ON","MAPLE, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,61,,,,,,5851,75.01,75.57,1.2388,2023-01-01,grey,HAMILTON|#|ON|#|MAPLE|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","KENNEBEC, SD",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,875,2.98,PT TO PT,,35.8,38.78,,33.93,36.91,0.0443,2023-07-01,orange,ENID|#|OK|#|KENNEBEC|#|SD|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"GRANITE CITY, IL","BOTTINEAU, ND",SINGLE,BNSF,DAP,T,2023-07-01,2023-12-31,1086,3.69,PT TO PT,,64.58,68.27,,,64.99,0.0629,2023-07-01,orange,GRANITE CITY|#|IL|#|BOTTINEAU|#|ND|#|BNSF|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"SASKFERCO, SK","NIAGARA FALLS, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1692,,,,,,32252,413.49,428.85,0.2535,2023-01-01,grey,SASKFERCO|#|SK|#|NIAGARA FALLS|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","MCCOMB, OH",SINGLE,BNSF-ESTL-NS,SUPERU,F,,,959,,,,,74.6,,,61.95,0.0778,2023-08-01,grey,ENID|#|OK|#|MCCOMB|#|OH|#|BNSF-ESTL-NS|#|SINGLE|#|SUPERU|#|F|#||#||#|
"NEW ORLEANS, LA","MENAN, ID",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,2178,11.23,ID - IDAHO FALLS,9522,98.16,109.39,8502,,98.88,0.0502,2023-07-01,red,NEW ORLEANS|#|LA|#|MENAN|#|ID|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"CHICAGO, IL","TIFTON, GA",SINGLE,NS,ATS,T,2023-08-01,,982,,,,,,,40.82,46.03,0.0469,2023-08-01,grey,CHICAGO|#|IL|#|TIFTON|#|GA|#|NS|#|SINGLE|#|ATS|#|T|#|2023-08-01|#||#|
"ENID, OK","DUMAS, AR",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,597,3.08,AR - SOUTH,4264,43.96,47.04,3806,39.24,42.31,0.0788,2023-07-01,red,ENID|#|OK|#|DUMAS|#|AR|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|AR - SOUTH
"WILMINGTON, NC","WEST UPTON, MA",SINGLE,CSXT-NGRAF-GU,METHANOL,C,2023-03-01,2023-12-31,998,,,,,,5135,,5783.7,0.0659,2023-03-01,grey,WILMINGTON|#|NC|#|WEST UPTON|#|MA|#|CSXT-NGRAF-GU|#|SINGLE|#|METHANOL|#|C|#|2023-03-01|#|2023-12-31|#|
"ENID, OK","RUPERT, ID",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,1428,7.36,ID - POCATELLO,7592,78.27,85.63,6778,69.88,77.24,0.06,2023-07-01,red,ENID|#|OK|#|RUPERT|#|ID|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|ID - POCATELLO
"SAINT JAMES, LA","DOUGLAS, WY",SINGLE,UP-FORTH-BNSF,METHANOL,F,,,1531,,,,,,,,8609,0.0639,2023-10-01,grey,SAINT JAMES|#|LA|#|DOUGLAS|#|WY|#|UP-FORTH-BNSF|#|SINGLE|#|METHANOL|#|F|#||#||#|
"ENID, OK","CLARKE, OR",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,1904,9.81,WA - WALLULA,7109,73.29,83.1,6348,65.44,75.26,0.0436,2023-07-01,red,ENID|#|OK|#|CLARKE|#|OR|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|WA - WALLULA
"FLAT ROCK, MI","NATALBANY, LA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1144,,,,,,23557,302.01,310.72,0.2716,2023-01-01,grey,FLAT ROCK|#|MI|#|NATALBANY|#|LA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","RANDOLPH, NE",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,670,2.28,PT TO PT,,28.39,30.67,,27.21,29.49,0.0458,2023-07-01,orange,ENID|#|OK|#|RANDOLPH|#|NE|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"WILMINGTON, NC","FRITCHTON, IN",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,899,,PF - IN FRITCHTON,5095,52.53,52.53,4318,44.52,44.52,0.0584,2023-03-01,blue,WILMINGTON|#|NC|#|FRITCHTON|#|IN|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - IN FRITCHTON
"BRANDON, MB","THREE RIVERS, MI",SINGLE,CPRS-CHGO-CSXT-GDRAP-GDLK,ATS,F,,,1254,,,,,,,,61.02,0.0487,2023-07-01,grey,BRANDON|#|MB|#|THREE RIVERS|#|MI|#|CPRS-CHGO-CSXT-GDRAP-GDLK|#|SINGLE|#|ATS|#|F|#||#||#|
"FREDERICK, OK","BURKBURNETT, OK",SINGLE,WTJR,UAN,T,2023-01-01,2023-12-31,,,,,,,931,9.5,9.5,,2023-01-01,grey,FREDERICK|#|OK|#|BURKBURNETT|#|OK|#|WTJR|#|SINGLE|#|UAN|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","DOCK, AZ",SINGLE,UP,UREA,T,2022-07-01,2023-06-30,1318,6.79,AZ - PHOENIX,6700,69.07,75.87,5982,61.67,68.46,0.0576,2022-07-01,red,ENID|#|OK|#|DOCK|#|AZ|#|UP|#|SINGLE|#|UREA|#|T|#|2022-07-01|#|2023-06-30|#|AZ - PHOENIX
"ST LOUIS (ALL), MO","MEDFORD, OK",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,570,2.94,OK - OKLAHOMA CITY,4293,44.26,47.2,3834,,42.46,0.0828,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|MEDFORD|#|OK|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|OK - OKLAHOMA CITY
"SAINT JAMES, LA","EAST SAINT LOUIS, IL",SINGLE,UP,METHANOL,C,2023-01-01,2023-12-31,776,,,,,,2247,,2635,0.0386,2023-01-01,red,SAINT JAMES|#|LA|#|EAST SAINT LOUIS|#|IL|#|UP|#|SINGLE|#|METHANOL|#|C|#|2023-01-01|#|2023-12-31|#|
"JUDD, IA","PIERSON, IL",SINGLE,CN-CHGO-CSXT,UAN,F,,,567,,,,,,,,51.76,0.0913,2023-07-01,grey,JUDD|#|IA|#|PIERSON|#|IL|#|CN-CHGO-CSXT|#|SINGLE|#|UAN|#|F|#||#||#|
"SLINGER, WI","OSHKOSH, WI",SINGLE,WSOR,ATS,T,2023-08-01,2024-07-31,70,,,,,,,11.96,12.56,0.1794,2023-08-01,grey,SLINGER|#|WI|#|OSHKOSH|#|WI|#|WSOR|#|SINGLE|#|ATS|#|T|#|2023-08-01|#|2024-07-31|#|
"BRANDON, MB","WAYLAND, MI",SINGLE,CN-KALAM-GDLK,UAN,Q,,,1206,,,,,,5187,52.93,60.24,0.0499,2023-03-31,grey,BRANDON|#|MB|#|WAYLAND|#|MI|#|CN-KALAM-GDLK|#|SINGLE|#|UAN|#|Q|#||#||#|
"CHICAGO, IL","CINCINNATI, OH",SINGLE,CSXT,UAN,T,2023-07-01,2024-06-30,319,,PF - OH IVORYDALE,,,,3403,34.72,34.72,0.1089,2023-07-01,blue,CHICAGO|#|IL|#|CINCINNATI|#|OH|#|CSXT|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - OH IVORYDALE
"SAINT LOUIS, MO","TOWNSEND, MT",SINGLE,BNSF,MAP,T,2023-07-01,2023-12-31,1705,5.8,PT TO PT,,81.32,87.12,,,84.77,0.0511,2023-07-01,orange,SAINT LOUIS|#|MO|#|TOWNSEND|#|MT|#|BNSF|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","REYNOLDS, IN",SINGLE,UP-WTSKA-TPW,UREA,F,,,819,,,,,56.93,,,52.77,0.0695,2023-07-01,grey,ENID|#|OK|#|REYNOLDS|#|IN|#|UP-WTSKA-TPW|#|SINGLE|#|UREA|#|F|#||#||#|
"DANVILLE, IL","BOSWELL, IL",SINGLE,KBSR,10-34-0,T,2021-11-01,,36,,,,,,525,5.36,5.36,0.1488,2021-11-01,grey,DANVILLE|#|IL|#|BOSWELL|#|IL|#|KBSR|#|SINGLE|#|10-34-0|#|T|#|2021-11-01|#||#|
"BRANDON, MB","TUXFORD, SK",SINGLE,CPRS,ATS,C,2023-07-01,2024-06-30,281,,,,,,3116,35.01,36.89,0.1313,2023-07-01,grey,BRANDON|#|MB|#|TUXFORD|#|SK|#|CPRS|#|SINGLE|#|ATS|#|C|#|2023-07-01|#|2024-06-30|#|
"SAINT LOUIS, MO","HOLLOWAY, MN",85 UT,BNSF,MAP,T,2023-07-01,2023-12-31,861,2.93,85 UT,,26.01,28.94,,,,0.0336,2023-07-01,orange,SAINT LOUIS|#|MO|#|HOLLOWAY|#|MN|#|BNSF|#|85 UT|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"GRAYLING, MI","GRAND MARSH, WI",SINGLE,LSRC-BAYCY-HESR-DURND-CN-CHGO-UP,CENTURO,F,,,699,,,,,,,,78.2,0.1119,2023-07-01,grey,GRAYLING|#|MI|#|GRAND MARSH|#|WI|#|LSRC-BAYCY-HESR-DURND-CN-CHGO-UP|#|SINGLE|#|CENTURO|#|F|#||#||#|
"BRANDON, MB","SAINTE-CATHERINE, QC",SINGLE,CPRS,ATS,C,2023-07-01,2024-06-30,1705,,,,,,6801,76.42,88.94,0.0522,2023-07-01,grey,BRANDON|#|MB|#|SAINTE-CATHERINE|#|QC|#|CPRS|#|SINGLE|#|ATS|#|C|#|2023-07-01|#|2024-06-30|#|
"SAINT JAMES, LA","DETROIT, MI",SINGLE,UP-ESTL-CSXT,METHANOL,Q,,,1286,,,,,,,,6120.5,0.0541,2023-05-30,grey,SAINT JAMES|#|LA|#|DETROIT|#|MI|#|UP-ESTL-CSXT|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"CHICAGO, IL","ROACHDALE, IN",SINGLE,CSXT,ATS,T,2023-07-01,2024-06-30,148,,PF - IN BAINBRIDGE,,,,2889,29.48,29.48,0.1992,2023-07-01,blue,CHICAGO|#|IL|#|ROACHDALE|#|IN|#|CSXT|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - IN BAINBRIDGE
"MICHOUD, LA","SERGEANT BLUFF, IA",SINGLE,CSXT-CHGO-UP,MAP,F,,,1481,,,,,89.66,,,81.02,0.0605,2023-10-04,grey,MICHOUD|#|LA|#|SERGEANT BLUFF|#|IA|#|CSXT-CHGO-UP|#|SINGLE|#|MAP|#|F|#||#||#|
"BATON ROUGE, LA","GILMAN, IL",SINGLE,CN,METHANOL,Q,,,822,,,,,,5315,,5803.27,0.0802,2023-03-28,grey,BATON ROUGE|#|LA|#|GILMAN|#|IL|#|CN|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"BATON ROUGE, LA","MEMPHIS, TN",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,395,,,,,,8346,107,110.01,0.2785,2023-01-01,grey,BATON ROUGE|#|LA|#|MEMPHIS|#|TN|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","REYNOLDS, IN",SINGLE,CN-GILMN-TPW,UAN,F,,,1145,,,,,,,,69.69,0.0609,2023-01-01,grey,BRANDON|#|MB|#|REYNOLDS|#|IN|#|CN-GILMN-TPW|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","MADRAS, OR",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,2086,10.75,OR - BEND,8860,91.34,102.09,7911,81.56,92.31,0.0489,2023-07-01,red,ENID|#|OK|#|MADRAS|#|OR|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|OR - BEND
"ENID, OK","DYER, TN",SINGLE,BNSF-MEMPH-NS-CRNTH-WTNN,UREA,F,,,791,,,,,65.76,,,44.36,0.0831,2023-08-01,grey,ENID|#|OK|#|DYER|#|TN|#|BNSF-MEMPH-NS-CRNTH-WTNN|#|SINGLE|#|UREA|#|F|#||#||#|
"WILMINGTON, NC","RICHMOND, KY",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,650,,PF - KY RICHMOND,4422,45.59,45.59,3624,37.36,37.36,0.0701,2023-03-01,blue,WILMINGTON|#|NC|#|RICHMOND|#|KY|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - KY RICHMOND
"ROCK ISLAND, IL","DUGALD, MB",SINGLE,IAIS-CHGO-CN,MAP,Q,,,930,,"",,,,,,65.01,,2023-08-04,grey,ROCK ISLAND|#|IL|#|DUGALD|#|MB|#|IAIS-CHGO-CN|#|SINGLE|#|MAP|#|Q|#||#||#|
"BEAUMONT, TX","EAST MORRIS, IL",SINGLE,KCS-JACKN-CN,AMMONIA,Q,,,1199,,,,,,,,236.36,0.1971,2023-03-27,grey,BEAUMONT|#|TX|#|EAST MORRIS|#|IL|#|KCS-JACKN-CN|#|SINGLE|#|AMMONIA|#|Q|#||#||#|
"ENID, OK","FALLS CITY, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,407,2.1,NE - SYRACUSE,4264,43.96,46.06,3806,39.24,41.34,0.1132,2023-07-01,red,ENID|#|OK|#|FALLS CITY|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - SYRACUSE
"SAINT JAMES, LA","NORTH HOPE, AR",SINGLE,UP,METHANOL,C,2023-01-01,2023-12-31,391,,,,,,3661,,3856.5,0.1121,2023-01-01,red,SAINT JAMES|#|LA|#|NORTH HOPE|#|AR|#|UP|#|SINGLE|#|METHANOL|#|C|#|2023-01-01|#|2023-12-31|#|
"EAST SAINT LOUIS, IL","HENDERSON, KY",SINGLE,CSXT,METHANOL,Q,,,212,,,,,,3568,,3705.8,0.1986,2023-03-30,blue,EAST SAINT LOUIS|#|IL|#|HENDERSON|#|KY|#|CSXT|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"BRANDON, MB","BAY CITY, MI",SINGLE,CN-DURND-HESR-BAYCY-LSRC,10-34-0,C,2023-01-01,2023-12-31,1318,,,,,,5406,55.16,63.15,0.0479,2023-01-01,grey,BRANDON|#|MB|#|BAY CITY|#|MI|#|CN-DURND-HESR-BAYCY-LSRC|#|SINGLE|#|10-34-0|#|C|#|2023-01-01|#|2023-12-31|#|
"COUNCIL BLUFFS, IA","ATALISSA, IA",SINGLE,IAIS,ATS,T,2023-10-01,2024-09-30,271,,IOWA CITY IAIS GRP,,,,2039,20.81,23.13,0.0853,2023-10-01,grey,COUNCIL BLUFFS|#|IA|#|ATALISSA|#|IA|#|IAIS|#|SINGLE|#|ATS|#|T|#|2023-10-01|#|2024-09-30|#|IOWA CITY IAIS GRP
"SAINT LOUIS, MO","SALEM, OR",SINGLE,BNSF,UREA,Q,,,2463.6,8.38,,,88.15,96.53,,85,93.38,0.0392,2023-06-26,orange,SAINT LOUIS|#|MO|#|SALEM|#|OR|#|BNSF|#|SINGLE|#|UREA|#|Q|#||#||#|
"GRANITE CITY, IL","ROYAL CITY, WA",SINGLE,BNSF,MAP,T,2023-07-01,2023-12-31,2181,7.42,PT TO PT,,87.1,94.52,,,94.52,0.0433,2023-07-01,orange,GRANITE CITY|#|IL|#|ROYAL CITY|#|WA|#|BNSF|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"CHICAGO, IL","WAYLAND, MI",SINGLE,CSXT-GDRAP-GDLK,UREA,T,2023-03-01,2024-02-29,197,,PF - MI GRAND RAPIDS,3731,38.46,38.46,3233,33.33,33.33,0.1952,2023-03-01,grey,CHICAGO|#|IL|#|WAYLAND|#|MI|#|CSXT-GDRAP-GDLK|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - MI GRAND RAPIDS
"BRANDON, MB","SANGERFIELD, NY",SINGLE,CPRS-CHGO-CSXT-UTICA-NYSW,ATS,F,,,1726,,,,,,,,81.67,0.0473,2023-07-01,grey,BRANDON|#|MB|#|SANGERFIELD|#|NY|#|CPRS-CHGO-CSXT-UTICA-NYSW|#|SINGLE|#|ATS|#|F|#||#||#|
"SLINGER, WI","AVALON, WI",SINGLE,WSOR,UAN,T,2023-08-01,2024-07-31,86,,,,,,,13.68,14.42,0.1676,2023-08-01,grey,SLINGER|#|WI|#|AVALON|#|WI|#|WSOR|#|SINGLE|#|UAN|#|T|#|2023-08-01|#|2024-07-31|#|
"SASKFERCO, SK","LONGWOOD, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1661,,,,,,31221,400.27,415.35,0.2501,2023-01-01,grey,SASKFERCO|#|SK|#|LONGWOOD|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"MICHOUD, LA","FOUR OAKS, NC",SINGLE,CSXT,MAP,T,2023-03-01,2024-02-29,902,,"",3959,40.81,40.81,3488,,35.96,0.0452,2023-03-01,blue,MICHOUD|#|LA|#|FOUR OAKS|#|NC|#|CSXT|#|SINGLE|#|MAP|#|T|#|2023-03-01|#|2024-02-29|#|
"CHICAGO, IL","BALTIMORE, MD",SINGLE,CSXT,ATS,T,2023-07-01,2024-06-30,807,,PF - MD BALTIMORE,,,,5425,55.36,55.36,0.0686,2023-07-01,blue,CHICAGO|#|IL|#|BALTIMORE|#|MD|#|CSXT|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - MD BALTIMORE
"CHICAGO, IL","COMSTOCK PARK, MI",SINGLE,CSXT-GDRAP-MQT,ATS,T,2023-07-01,2024-06-30,183,,PF - MI GRAND RAPIDS,,,,2365,24.13,24.13,0.1319,2023-07-01,grey,CHICAGO|#|IL|#|COMSTOCK PARK|#|MI|#|CSXT-GDRAP-MQT|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - MI GRAND RAPIDS
"NEW ORLEANS, LA","CLARE, IA",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,1314,6.77,IA - INTERIOR IOWA LIGHT,6746,69.55,76.32,6024,,68.88,0.0581,2023-07-01,red,NEW ORLEANS|#|LA|#|CLARE|#|IA|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA LIGHT
"CHICAGO, IL","FREELAND, MI",SINGLE,CSXT-PLYMT-LSRC,ATS,T,2023-07-01,2024-06-30,387,,PF - MI DETROIT,,,,3175,32.4,32.4,0.0837,2023-07-01,grey,CHICAGO|#|IL|#|FREELAND|#|MI|#|CSXT-PLYMT-LSRC|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - MI DETROIT
"ENID, OK","ULEN, MN",85 UT,BNSF,SUPERU,T,2023-08-02,2023-12-31,1075,3.66,85 UT,,32,35.66,,31.2,34.86,0.0332,2023-08-02,orange,ENID|#|OK|#|ULEN|#|MN|#|BNSF|#|85 UT|#|SUPERU|#|T|#|2023-08-02|#|2023-12-31|#|85 UT
"ENID, OK","KERSHAW, MT",100 UT,BNSF,UREA,T,2023-07-01,2023-12-31,1647,5.6,100 UT,,46.5,52.1,,44.2,49.8,0.0316,2023-07-01,orange,ENID|#|OK|#|KERSHAW|#|MT|#|BNSF|#|100 UT|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|100 UT
"WILMINGTON, NC","LUMBERTON, NC",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,62,,PF - NC LUMBERTON,2184,22.52,22.52,1820,18.76,18.76,0.3632,2023-03-01,blue,WILMINGTON|#|NC|#|LUMBERTON|#|NC|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - NC LUMBERTON
"BRANDON, MB","GREENWOOD, DE",SINGLE,CPRS-CHGO-NS,UAN,F,,,1968,,,,,,,,77.27,0.0393,2023-08-01,grey,BRANDON|#|MB|#|GREENWOOD|#|DE|#|CPRS-CHGO-NS|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","HANLONTOWN, IA",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,806,4.15,IA - INTERIOR IOWA HEAVY,4626,47.69,51.85,4130,42.58,46.73,0.0643,2023-07-01,red,ENID|#|OK|#|HANLONTOWN|#|IA|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA HEAVY
