Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate,Rate Override,Custody Contract,Shipper,Custody Deal,Buy/Sell Deal,Comments,Product Category,Products
177222,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,FARWELL,Fixed,,Delivery,1.83754,,,,,,,All,None
177157,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,FARWELL,Fixed,,Delivery,1.04,,,,,,,All,None
177258,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,FARWELL,Fixed,,Delivery,1.04,,,,,,,All,None
177168,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,FARWELL,Fixed,,Delivery,0,,,,,,,All,None
177269,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,FARWELL,Fixed,,Delivery,0,,,,,,,All,None
177180,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,FARWELL,Fixed,,Delivery,0,,,,,,,All,None
177281,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,FARWELL,Fixed,,Delivery,0,,,,,,,All,None
177099,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,FORTUNE LAKE,Fixed,,Delivery,0.77,,,,,,,All,None
177200,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,FORTUNE LAKE,Fixed,,Delivery,0.77,,,,,,,All,None
177108,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,FORTUNE LAKE,Fixed,,Delivery,1.31,,,,,,,All,None
177209,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,FORTUNE LAKE,Fixed,,Delivery,1.31,,,,,,,All,None
177113,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,FORTUNE LAKE,Fixed,,Delivery,0,,,,,,,All,None
177214,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,FORTUNE LAKE,Fixed,,Delivery,0,,,,,,,All,None
177122,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,FORTUNE LAKE,Fixed,,Delivery,1.30769,,,,,,,All,None
