rateId,document,version,effectiveDate,expirationDate,lastUpdateDate,shippingStartDate,shippingEndDate,productGroup,originGroup,originId,destinationGroup,destinationId,rateFactorType,rate,currency,rateUom,loadQuantity,ratePerUom,mode,distanceUom,distanceLower,distanceUpper,originCountry,originLabel,destinationCountry,destinationLabel
NH3_GUIDANCE|#|MO|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|920|#|930,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,MO,FALSE,US,UNIT,218.05,USD,ST,20,218.05,TRUCK,MI,920,930,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|NE|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|820|#|830,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,NE,FALSE,US,UNIT,195.24,USD,ST,20,195.24,TRUCK,MI,820,830,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|OK|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|410|#|420,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,OK,FALSE,US,UNIT,58.61,USD,ST,25,58.61,TRUCK,MI,410,420,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|OH|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|50|#|60,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,OH,FALSE,US,UNIT,19.80,USD,ST,20,19.8,TRUCK,MI,50,60,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|MO|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|780|#|790,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,MO,FALSE,US,UNIT,185.99,USD,ST,20,185.99,TRUCK,MI,780,790,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|MN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|500|#|510,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,MN,FALSE,US,UNIT,71.50,USD,ST,25,71.5,TRUCK,MI,500,510,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|NE|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|390|#|400,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,NE,FALSE,US,UNIT,93.06,USD,ST,20,93.06,TRUCK,MI,390,400,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|130|#|140,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IA,FALSE,US,UNIT,33.09,USD,ST,20,33.09,TRUCK,MI,130,140,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|MN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|450|#|460,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,MN,FALSE,US,UNIT,64.59,USD,ST,25,64.59,TRUCK,MI,450,460,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|NE|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|440|#|450,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,NE,FALSE,US,UNIT,58.35,USD,ST,25,58.35,TRUCK,MI,440,450,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|590|#|600,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,IA,FALSE,US,UNIT,86.17,USD,ST,25,86.17,TRUCK,MI,590,600,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|60|#|70,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,10.77,USD,ST,25,10.77,TRUCK,MI,60,70,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|TX|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|160|#|170,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,TX,FALSE,US,UNIT,39.38,USD,ST,20,39.38,TRUCK,MI,160,170,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|TX|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|960|#|970,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,TX,FALSE,US,UNIT,227.40,USD,ST,20,227.4,TRUCK,MI,960,970,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|550|#|560,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,76.84,USD,ST,25,76.84,TRUCK,MI,550,560,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|IL|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|540|#|550,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,IL,FALSE,US,UNIT,78.95,USD,ST,25,78.95,TRUCK,MI,540,550,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IL|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|860|#|870,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IL,FALSE,US,UNIT,211.70,USD,ST,20,211.7,TRUCK,MI,860,870,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|KS|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|610|#|620,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,KS,FALSE,US,UNIT,145.36,USD,ST,20,145.36,TRUCK,MI,610,620,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|960|#|970,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IN,FALSE,US,UNIT,235.55,USD,ST,20,235.55,TRUCK,MI,960,970,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|MN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|310|#|320,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,MN,FALSE,US,UNIT,45.22,USD,ST,25,45.22,TRUCK,MI,310,320,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|260|#|270,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,36.83,USD,ST,25,36.83,TRUCK,MI,260,270,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|OK|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|550|#|560,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,OK,FALSE,US,UNIT,73.89,USD,ST,25,73.89,TRUCK,MI,550,560,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|NE|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|580|#|590,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,NE,FALSE,US,UNIT,142.05,USD,ST,20,142.05,TRUCK,MI,580,590,US,StateOrProvince,US,Country
