origin_city_state,dest_city_state,comm,orig_city,orig_state,dest_city,dest_state
"BRANDON, MB","HORICON, WI",UAN,BRANDON,MB,HORICON,WI
"BRANDON, MB","HUNTINGTON, IN",UAN,BRANDON,MB,HUNTINGTON,IN
"BRANDON, MB","HYSHAM, MT",UAN,BRANDON,MB,HYSHAM,MT
"BRANDON, MB","IDAHO FALLS, ID",UAN,BRANDON,MB,IDAHO FALLS,ID
"BRANDON, MB","ILLMO, MO",10-34-0,BRANDON,MB,ILLMO,MO
"BRANDON, MB","IONIA, IA",UAN,BRANDON,MB,IONIA,IA
"BRANDON, MB","IPSWICH, SD",UAN,BRANDON,MB,IPSWICH,SD
"BRANDON, MB","JACKSON JCT, IA",UAN,BRANDON,MB,JACKSON JCT,IA
"BRANDON, MB","JACKSON, OH",UAN,BRANDON,MB,JACKSON,OH
"BRANDON, MB","JAMESTOWN, ND",ATS,BRANDON,MB,JAMESTOWN,ND
"BRANDON, MB","JAMESTOWN, ND",UAN,BRANDON,MB,JAMESTOWN,ND
"BRANDON, MB","JANESVILLE, MN",UAN,BRANDON,MB,JANESVILLE,MN
"BRANDON, MB","JOICE, IA",UAN,BRANDON,MB,JOICE,IA
"BRANDON, MB","JOLIETTE, QC",UAN,BRANDON,MB,JOLIETTE,QC
"BRANDON, MB","JUNCTION CITY, OR",UAN,BRANDON,MB,JUNCTION CITY,OR
"BRANDON, MB","KANKAKEE, IL",UAN,BRANDON,MB,KANKAKEE,IL
"BRANDON, MB","KAUKAUNA, WI",UAN,BRANDON,MB,KAUKAUNA,WI
"BRANDON, MB","KELSEY, AB",UAN,BRANDON,MB,KELSEY,AB
"BRANDON, MB","KEMPTON, IN",UAN,BRANDON,MB,KEMPTON,IN
"BRANDON, MB","KENT BRIDGE, ON",UAN,BRANDON,MB,KENT BRIDGE,ON
"BRANDON, MB","KENTON, OH",UAN,BRANDON,MB,KENTON,OH
"BRANDON, MB","KIDRON, OH",UAN,BRANDON,MB,KIDRON,OH
"BRANDON, MB","KILE, OH",UAN,BRANDON,MB,KILE,OH
"BRANDON, MB","KINDRED, ND",UAN,BRANDON,MB,KINDRED,ND
"BRANDON, MB","KINGSBURY, IN",UAN,BRANDON,MB,KINGSBURY,IN
"BRANDON, MB","KINGSGATE, BC",UAN,BRANDON,MB,KINGSGATE,BC
"BRANDON, MB","KITTANNING, PA",UAN,BRANDON,MB,KITTANNING,PA
"BRANDON, MB","KREMLIN, MT",UAN,BRANDON,MB,KREMLIN,MT
"BRANDON, MB","LA CROSSE, IN",UAN,BRANDON,MB,LA CROSSE,IN
"BRANDON, MB","LAFAYETTE, IN",UAN,BRANDON,MB,LAFAYETTE,IN
"BRANDON, MB","LAKE ODESSA, MI",UAN,BRANDON,MB,LAKE ODESSA,MI
"BRANDON, MB","LATTY, OH",UAN,BRANDON,MB,LATTY,OH
"BRANDON, MB","LEADER, SK",UAN,BRANDON,MB,LEADER,SK
"BRANDON, MB","LEE, FL",UAN,BRANDON,MB,LEE,FL
"BRANDON, MB","LEESBURG, IN",UAN,BRANDON,MB,LEESBURG,IN
"BRANDON, MB","LEESPORT, PA",UAN,BRANDON,MB,LEESPORT,PA
"BRANDON, MB","LENA, IL",AMMONIA,BRANDON,MB,LENA,IL
"BRANDON, MB","LENA, IL",UAN,BRANDON,MB,LENA,IL
"BRANDON, MB","LEROY, NY",UAN,BRANDON,MB,LEROY,NY
"BRANDON, MB","LEWISTOWN (JVRR), PA",UAN,BRANDON,MB,LEWISTOWN (JVRR),PA
"BRANDON, MB","LINDEN, IN",UAN,BRANDON,MB,LINDEN,IN
"BRANDON, MB","LOCKWOOD, MT",UAN,BRANDON,MB,LOCKWOOD,MT
"BRANDON, MB","LORDSTOWN, OH",UAN,BRANDON,MB,LORDSTOWN,OH
"BRANDON, MB","LUXEMBURG, WI",UAN,BRANDON,MB,LUXEMBURG,WI
"BRANDON, MB","LYNCH, MD",UAN,BRANDON,MB,LYNCH,MD
"BRANDON, MB","LYNDONVILLE, VT",UAN,BRANDON,MB,LYNDONVILLE,VT
"BRANDON, MB","MADISON, SD",UAN,BRANDON,MB,MADISON,SD
"BRANDON, MB","MADISON, WI",UAN,BRANDON,MB,MADISON,WI
"BRANDON, MB","MALCOM, IA",UAN,BRANDON,MB,MALCOM,IA
"BRANDON, MB","MALDEN, IN",UAN,BRANDON,MB,MALDEN,IN
"BRANDON, MB","MALONE, OR",UAN,BRANDON,MB,MALONE,OR
"BRANDON, MB","MARION, PA",UAN,BRANDON,MB,MARION,PA
"BRANDON, MB","MARKESAN, WI",UAN,BRANDON,MB,MARKESAN,WI
"BRANDON, MB","MARSHALL, WA",UAN,BRANDON,MB,MARSHALL,WA
"BRANDON, MB","MARSHALL, WI",UAN,BRANDON,MB,MARSHALL,WI
"BRANDON, MB","MARTIN, OH",UAN,BRANDON,MB,MARTIN,OH
"BRANDON, MB","MARYSVILLE, OH",UAN,BRANDON,MB,MARYSVILLE,OH
"BRANDON, MB","MAXVILLE, ON",UAN,BRANDON,MB,MAXVILLE,ON
"BRANDON, MB","MAYNE, SK",UAN,BRANDON,MB,MAYNE,SK
"BRANDON, MB","MCCOMB, OH",UAN,BRANDON,MB,MCCOMB,OH
"BRANDON, MB","MCLAUGHLIN, SD",UAN,BRANDON,MB,MCLAUGHLIN,SD
"BRANDON, MB","MCLEANSBORO, IL",UAN,BRANDON,MB,MCLEANSBORO,IL
"BRANDON, MB","MEADVILLE, PA",UAN,BRANDON,MB,MEADVILLE,PA
"BRANDON, MB","MEDINA, NY",UAN,BRANDON,MB,MEDINA,NY
"BRANDON, MB","MENTONE, IN",UAN,BRANDON,MB,MENTONE,IN
"BRANDON, MB","MESA, WA",UAN,BRANDON,MB,MESA,WA
"BRANDON, MB","MIDDLEBURY, VT",UAN,BRANDON,MB,MIDDLEBURY,VT
"BRANDON, MB","MIDDLETON, MI",UAN,BRANDON,MB,MIDDLETON,MI
"BRANDON, MB","MIDWAY, ID",ATS,BRANDON,MB,MIDWAY,ID
"BRANDON, MB","MIDWAY, ID",UAN,BRANDON,MB,MIDWAY,ID
"BRANDON, MB","MILFORD JCT, IN",UAN,BRANDON,MB,MILFORD JCT,IN
"BRANDON, MB","MILFORD, IN",UAN,BRANDON,MB,MILFORD,IN
