originLocation,destinationLocation,equipmentType,productType
"BRANDON, MB","FARMER CITY, IL",SINGLE,UAN
"BRANDON, MB","FARMERSBURG, IN",SINGLE,ATS
"BRANDON, MB","FARMERSBURG, IN",SINGLE,UAN
"BRANDON, MB","FLAT ROCK, MI",SINGLE,10-34-0
"BRANDON, MB","FLAT ROCK, MI",SINGLE,AMMONIA
"BRANDON, MB","FLAT ROCK, MI",SINGLE,ATS
"BRANDON, MB","FLAT ROCK, MI",SINGLE,UAN
"BRANDON, MB","FORT PIERRE, SD",SINGLE,10-34-0
"BRANDON, MB","FORT PIERRE, SD",SINGLE,ATS
"BRANDON, MB","FORT PIERRE, SD",SINGLE,UAN
"BRANDON, MB","FOWLER, IN",SINGLE,10-34-0
"BRANDON, MB","FOWLER, IN",SINGLE,ATS
"BRANDON, MB","FOWLER, IN",SINGLE,UAN
"BRANDON, MB","FOWLERVILLE, MI",SINGLE,ATS
"BRANDON, MB","FOWLERVILLE, MI",SINGLE,UAN
"BRANDON, MB","FRANCESVILLE, IN",SINGLE,ATS
"BRANDON, MB","FRANCESVILLE, IN",SINGLE,UAN
"BRANDON, MB","FRANKLIN, KY",SINGLE,ATS
"BRANDON, MB","FRANKLIN, KY",SINGLE,UAN
"BRANDON, MB","FREMONT, MI",SINGLE,ATS
"BRANDON, MB","FREMONT, MI",SINGLE,UAN
"BRANDON, MB","FRITCHTON, IN",SINGLE,ATS
"BRANDON, MB","FRITCHTON, IN",SINGLE,UAN
"BRANDON, MB","FT FAIRFIELD, ME",SINGLE,ATS
"BRANDON, MB","FT FAIRFIELD, ME",SINGLE,UAN
"BRANDON, MB","GARNER, IA",SINGLE,AMMONIA
"BRANDON, MB","GARRETSON, SD",SINGLE,ATS
"BRANDON, MB","GARRETSON, SD",SINGLE,UAN
"BRANDON, MB","GARRETT, IN",SINGLE,ATS
"BRANDON, MB","GARRETT, IN",SINGLE,UAN
"BRANDON, MB","GILMAN, IL",SINGLE,10-34-0
"BRANDON, MB","GILMAN, IL",SINGLE,ATS
"BRANDON, MB","GILMAN, IL",SINGLE,UAN
"BRANDON, MB","GLADE SPRING, VA",SINGLE,ATS
"BRANDON, MB","GLADE SPRING, VA",SINGLE,UAN
"BRANDON, MB","GRAND FORKS, ND",SINGLE,UAN
"BRANDON, MB","GRAND RAPIDS, MI",SINGLE,ATS
"BRANDON, MB","GRAND RAPIDS, MI",SINGLE,UAN
